,RATE A,RATE B,RATE C,Total
04/02/2018 01.00,,,65.74,65.74
04/02/2018 01.15,,,63.4,63.4
04/02/2018 01.30,,,61.79,61.79
04/02/2018 01.45,,,63.21,63.21
04/02/2018 02.00,,,64.01,64.01
04/02/2018 02.15,,,64.09,64.09
04/02/2018 02.30,,,63.4,63.4
04/02/2018 02.45,,,62.25,62.25
04/02/2018 03.00,,,60.09,60.09
04/02/2018 03.15,,,58.35,58.35
04/02/2018 03.30,,,57.46,57.46
04/02/2018 03.45,,,56.37,56.37
04/02/2018 04.00,,,55.9,55.9
04/02/2018 04.15,,,53.74,53.74
04/02/2018 04.30,,,57.8,57.8
04/02/2018 04.45,,,55.37,55.37
04/02/2018 05.00,,,53.98,53.98
04/02/2018 05.15,,,56.24,56.24
04/02/2018 05.30,,,54.48,54.48
04/02/2018 05.45,,,55.27,55.27
04/02/2018 06.00,,,53.45,53.45
04/02/2018 06.15,,,52.8,52.8
04/02/2018 06.30,,,52.82,52.82
04/02/2018 06.45,,,49.56,49.56
04/02/2018 07.00,,,47.88,47.88
04/02/2018 07.15,,,48.93,48.93
04/02/2018 07.30,,,47.74,47.74
04/02/2018 07.45,,,48.79,48.79
04/02/2018 08.00,,,46.35,46.35
04/02/2018 08.15,,,44.29,44.29
04/02/2018 08.30,,,45.16,45.16
04/02/2018 08.45,,,45.27,45.27
04/02/2018 09.00,,,44.3,44.3
04/02/2018 09.15,,,43.74,43.74
04/02/2018 09.30,,,43.93,43.93
04/02/2018 09.45,,,44.76,44.76
04/02/2018 10.00,,,43.61,43.61
04/02/2018 10.15,,,43.21,43.21
04/02/2018 10.30,,,37.48,37.48
04/02/2018 10.45,,,38.87,38.87
04/02/2018 11.00,,,41.13,41.13
04/02/2018 11.15,,,36.34,36.34
04/02/2018 11.30,,,35.87,35.87
04/02/2018 11.45,,,35.42,35.42
04/02/2018 12.00,,,35.37,35.37
04/02/2018 12.15,,,37.42,37.42
04/02/2018 12.30,,,34.18,34.18
04/02/2018 12.45,,,32.9,32.9
04/02/2018 13.00,,,33.64,33.64
04/02/2018 13.15,,,32.43,32.43
04/02/2018 13.30,,,32.09,32.09
04/02/2018 13.45,,,33.85,33.85
04/02/2018 14.00,,,34.64,34.64
04/02/2018 14.15,,,36.56,36.56
04/02/2018 14.30,,,39.64,39.64
04/02/2018 14.45,,,45,45
04/02/2018 15.00,,,42.22,42.22
04/02/2018 15.15,,,38.76,38.76
04/02/2018 15.30,,,38.34,38.34
04/02/2018 15.45,,,38.77,38.77
04/02/2018 16.00,,,40.8,40.8
04/02/2018 16.15,,,42.27,42.27
04/02/2018 16.30,,,44.72,44.72
04/02/2018 16.45,,,45.96,45.96
04/02/2018 17.00,,,47.59,47.59
04/02/2018 17.15,,,47.93,47.93
04/02/2018 17.30,,,48.77,48.77
04/02/2018 17.45,,,50.37,50.37
04/02/2018 18.00,,,53.08,53.08
04/02/2018 18.15,,,55.3,55.3
04/02/2018 18.30,,,53.08,53.08
04/02/2018 18.45,,,56.71,56.71
04/02/2018 19.00,,,57.43,57.43
04/02/2018 19.15,,,56.74,56.74
04/02/2018 19.30,,,62.51,62.51
04/02/2018 19.45,,,61.14,61.14
04/02/2018 20.00,,,63.54,63.54
04/02/2018 20.15,,,62.72,62.72
04/02/2018 20.30,,,66.93,66.93
04/02/2018 20.45,,,69.64,69.64
04/02/2018 21.00,,,71.43,71.43
04/02/2018 21.15,,,70.96,70.96
04/02/2018 21.30,,,73,73
04/02/2018 21.45,,,79.06,79.06
04/02/2018 22.00,,,78.79,78.79
04/02/2018 22.15,,,98.62,98.62
04/02/2018 22.30,,,99.82,99.82
04/02/2018 22.45,,,97.32,97.32
04/02/2018 23.00,,,100.15,100.15
04/02/2018 23.15,,,105.25,105.25
04/02/2018 23.30,,,104.09,104.09
04/02/2018 23.45,,,107.51,107.51
04/02/2018 24.00,,,108.93,108.93
05/02/2018 00.15,,105.38,,105.38
05/02/2018 00.30,,109.41,,109.41
05/02/2018 00.45,,106.11,,106.11
05/02/2018 01.00,,111.49,,111.49
05/02/2018 01.15,,102.19,,102.19
05/02/2018 01.30,,99.78,,99.78
05/02/2018 01.45,,96.93,,96.93
05/02/2018 02.00,,99.98,,99.98
05/02/2018 02.15,,94.3,,94.3
05/02/2018 02.30,,89.27,,89.27
05/02/2018 02.45,,87.11,,87.11
05/02/2018 03.00,,85.93,,85.93
05/02/2018 03.15,,86.33,,86.33
05/02/2018 03.30,,81.85,,81.85
05/02/2018 03.45,,79.96,,79.96
05/02/2018 04.00,,77.51,,77.51
05/02/2018 04.15,,75.88,,75.88
05/02/2018 04.30,,75.54,,75.54
05/02/2018 04.45,,74.3,,74.3
05/02/2018 05.00,,73.41,,73.41
05/02/2018 05.15,,73.17,,73.17
05/02/2018 05.30,,75.19,,75.19
05/02/2018 05.45,,74.75,,74.75
05/02/2018 06.00,,72.45,,72.45
05/02/2018 06.15,,74.01,,74.01
05/02/2018 06.30,,73.03,,73.03
05/02/2018 06.45,,71.32,,71.32
05/02/2018 07.00,,71.75,,71.75
05/02/2018 07.15,,76.69,,76.69
05/02/2018 07.30,,77.66,,77.66
05/02/2018 07.45,,80.82,,80.82
05/02/2018 08.00,,87.61,,87.61
05/02/2018 08.15,,90.46,,90.46
05/02/2018 08.30,,88.98,,88.98
05/02/2018 08.45,,88.25,,88.25
05/02/2018 09.00,,80.72,,80.72
05/02/2018 09.15,74.27,,,74.27
05/02/2018 09.30,62.04,,,62.04
05/02/2018 09.45,52.72,,,52.72
05/02/2018 10.00,52.08,,,52.08
05/02/2018 10.15,53.67,,,53.67
05/02/2018 10.30,50.87,,,50.87
05/02/2018 10.45,52.34,,,52.34
05/02/2018 11.00,48.87,,,48.87
05/02/2018 11.15,44.46,,,44.46
05/02/2018 11.30,45.29,,,45.29
05/02/2018 11.45,46.03,,,46.03
05/02/2018 12.00,44.21,,,44.21
05/02/2018 12.15,44.59,,,44.59
05/02/2018 12.30,47.14,,,47.14
05/02/2018 12.45,48.38,,,48.38
05/02/2018 13.00,47.92,,,47.92
05/02/2018 13.15,46.03,,,46.03
05/02/2018 13.30,51.93,,,51.93
05/02/2018 13.45,54.5,,,54.5
05/02/2018 14.00,51.13,,,51.13
05/02/2018 14.15,52.84,,,52.84
05/02/2018 14.30,51.87,,,51.87
05/02/2018 14.45,54.82,,,54.82
05/02/2018 15.00,55.64,,,55.64
05/02/2018 15.15,55.82,,,55.82
05/02/2018 15.30,51.75,,,51.75
05/02/2018 15.45,53,,,53
05/02/2018 16.00,53.16,,,53.16
05/02/2018 16.15,52.74,,,52.74
05/02/2018 16.30,56.08,,,56.08
05/02/2018 16.45,54.77,,,54.77
05/02/2018 17.00,58.29,,,58.29
05/02/2018 17.15,58.01,,,58.01
05/02/2018 17.30,61.37,,,61.37
05/02/2018 17.45,60.66,,,60.66
05/02/2018 18.00,62.03,,,62.03
05/02/2018 18.15,66,,,66
05/02/2018 18.30,68.14,,,68.14
05/02/2018 18.45,74.67,,,74.67
05/02/2018 19.00,76.9,,,76.9
05/02/2018 19.15,77.01,,,77.01
05/02/2018 19.30,82.85,,,82.85
05/02/2018 19.45,83.54,,,83.54
05/02/2018 20.00,82.45,,,82.45
05/02/2018 20.15,82.54,,,82.54
05/02/2018 20.30,84.88,,,84.88
05/02/2018 20.45,87.93,,,87.93
05/02/2018 21.00,94.46,,,94.46
05/02/2018 21.15,95.57,,,95.57
05/02/2018 21.30,99.49,,,99.49
05/02/2018 21.45,107.65,,,107.65
05/02/2018 22.00,104.14,,,104.14
05/02/2018 22.15,,111.35,,111.35
05/02/2018 22.30,,109.75,,109.75
05/02/2018 22.45,,104.44,,104.44
05/02/2018 23.00,,112.4,,112.4
05/02/2018 23.15,,115.28,,115.28
05/02/2018 23.30,,116.06,,116.06
05/02/2018 23.45,,118.41,,118.41
05/02/2018 24.00,,116.33,,116.33
06/02/2018 00.15,,114.75,,114.75
06/02/2018 00.30,,118.43,,118.43
06/02/2018 00.45,,119.73,,119.73
06/02/2018 01.00,,116.57,,116.57
06/02/2018 01.15,,112.35,,112.35
06/02/2018 01.30,,108.15,,108.15
06/02/2018 01.45,,106.86,,106.86
06/02/2018 02.00,,96.8,,96.8
06/02/2018 02.15,,95.62,,95.62
06/02/2018 02.30,,93.09,,93.09
