,RATE A,RATE B,RATE C,Total
04/03/2018 09.00,,,104.99,104.99
04/03/2018 09.15,,,106.48,106.48
04/03/2018 09.30,,,101.65,101.65
04/03/2018 09.45,,,99.69,99.69
04/03/2018 10.00,,,95.25,95.25
04/03/2018 10.15,,,88.14,88.14
04/03/2018 10.30,,,89.01,89.01
04/03/2018 10.45,,,87.56,87.56
04/03/2018 11.00,,,78.43,78.43
04/03/2018 11.15,,,75.74,75.74
04/03/2018 11.30,,,77.98,77.98
04/03/2018 11.45,,,77.17,77.17
04/03/2018 12.00,,,84.49,84.49
04/03/2018 12.15,,,76.29,76.29
04/03/2018 12.30,,,78.7,78.7
04/03/2018 12.45,,,67.46,67.46
04/03/2018 13.00,,,68.32,68.32
04/03/2018 13.15,,,74.32,74.32
04/03/2018 13.30,,,80.27,80.27
04/03/2018 13.45,,,75.51,75.51
04/03/2018 14.00,,,70.12,70.12
04/03/2018 14.15,,,72.16,72.16
04/03/2018 14.30,,,73.17,73.17
04/03/2018 14.45,,,74.22,74.22
04/03/2018 15.00,,,73.72,73.72
04/03/2018 15.15,,,74.62,74.62
04/03/2018 15.30,,,77.62,77.62
04/03/2018 15.45,,,74.85,74.85
04/03/2018 16.00,,,72.17,72.17
04/03/2018 16.15,,,74.12,74.12
04/03/2018 16.30,,,79.25,79.25
04/03/2018 16.45,,,79.41,79.41
04/03/2018 17.00,,,83.93,83.93
04/03/2018 17.15,,,86.96,86.96
04/03/2018 17.30,,,91.4,91.4
04/03/2018 17.45,,,92.4,92.4
04/03/2018 18.00,,,91.16,91.16
04/03/2018 18.15,,,92.98,92.98
04/03/2018 18.30,,,97.93,97.93
04/03/2018 18.45,,,99.85,99.85
04/03/2018 19.00,,,100.57,100.57
04/03/2018 19.15,,,105.41,105.41
04/03/2018 19.30,,,105.82,105.82
04/03/2018 19.45,,,105.25,105.25
04/03/2018 20.00,,,112.44,112.44
04/03/2018 20.15,,,113.62,113.62
04/03/2018 20.30,,,119.02,119.02
04/03/2018 20.45,,,120.43,120.43
04/03/2018 21.00,,,127.85,127.85
04/03/2018 21.15,,,134.67,134.67
04/03/2018 21.30,,,143.18,143.18
04/03/2018 21.45,,,150.05,150.05
04/03/2018 22.00,,,151.36,151.36
04/03/2018 22.15,,,161.3,161.3
04/03/2018 22.30,,,166.23,166.23
04/03/2018 22.45,,,168.52,168.52
04/03/2018 23.00,,,172.67,172.67
04/03/2018 23.15,,,180.97,180.97
04/03/2018 23.30,,,186.55,186.55
04/03/2018 23.45,,,188.68,188.68
04/03/2018 24.00,,,188.99,188.99
05/03/2018 00.15,,194.86,,194.86
05/03/2018 00.30,,201.45,,201.45
05/03/2018 00.45,,204.99,,204.99
05/03/2018 01.00,,200.76,,200.76
05/03/2018 01.15,,205.1,,205.1
05/03/2018 01.30,,204.13,,204.13
05/03/2018 01.45,,204.86,,204.86
05/03/2018 02.00,,202,,202
05/03/2018 02.15,,199.79,,199.79
05/03/2018 02.30,,193.37,,193.37
05/03/2018 02.45,,189.62,,189.62
05/03/2018 03.00,,187.58,,187.58
05/03/2018 03.15,,185.81,,185.81
05/03/2018 03.30,,180.04,,180.04
05/03/2018 03.45,,176.38,,176.38
05/03/2018 04.00,,174.02,,174.02
05/03/2018 04.15,,169.7,,169.7
05/03/2018 04.30,,166.23,,166.23
05/03/2018 04.45,,164.22,,164.22
05/03/2018 05.00,,162.67,,162.67
05/03/2018 05.15,,162.18,,162.18
05/03/2018 05.30,,162.89,,162.89
05/03/2018 05.45,,162.25,,162.25
05/03/2018 06.00,,159.26,,159.26
05/03/2018 06.15,,155.09,,155.09
05/03/2018 06.30,,151.83,,151.83
05/03/2018 06.45,,147.04,,147.04
05/03/2018 07.00,,145.12,,145.12
05/03/2018 07.15,,143.14,,143.14
05/03/2018 07.30,,144.62,,144.62
05/03/2018 07.45,,143.91,,143.91
05/03/2018 08.00,,146.72,,146.72
05/03/2018 08.15,,144.14,,144.14
05/03/2018 08.30,,141.41,,141.41
05/03/2018 08.45,,144.01,,144.01
05/03/2018 09.00,,129.62,,129.62
05/03/2018 09.15,120.12,,,120.12
05/03/2018 09.30,107.46,,,107.46
05/03/2018 09.45,100.41,,,100.41
05/03/2018 10.00,95.48,,,95.48
05/03/2018 10.15,90.54,,,90.54
05/03/2018 10.30,84.4,,,84.4
05/03/2018 10.45,82.95,,,82.95
05/03/2018 11.00,85.7,,,85.7
05/03/2018 11.15,83.22,,,83.22
05/03/2018 11.30,80.53,,,80.53
05/03/2018 11.45,84.49,,,84.49
05/03/2018 12.00,81.08,,,81.08
05/03/2018 12.15,86.51,,,86.51
05/03/2018 12.30,88.61,,,88.61
05/03/2018 12.45,89.69,,,89.69
05/03/2018 13.00,92.59,,,92.59
05/03/2018 13.15,88.38,,,88.38
05/03/2018 13.30,86.22,,,86.22
05/03/2018 13.45,101.32,,,101.32
05/03/2018 14.00,92.07,,,92.07
05/03/2018 14.15,91.24,,,91.24
05/03/2018 14.30,87.27,,,87.27
05/03/2018 14.45,91.4,,,91.4
05/03/2018 15.00,95.04,,,95.04
05/03/2018 15.15,95.22,,,95.22
05/03/2018 15.30,98.09,,,98.09
05/03/2018 15.45,100.69,,,100.69
05/03/2018 16.00,103.07,,,103.07
05/03/2018 16.15,101.91,,,101.91
05/03/2018 16.30,102.59,,,102.59
05/03/2018 16.45,102.98,,,102.98
05/03/2018 17.00,105.94,,,105.94
05/03/2018 17.15,105.78,,,105.78
05/03/2018 17.30,105.54,,,105.54
05/03/2018 17.45,109.64,,,109.64
05/03/2018 18.00,113.64,,,113.64
05/03/2018 18.15,114.04,,,114.04
05/03/2018 18.30,118.06,,,118.06
05/03/2018 18.45,124.01,,,124.01
05/03/2018 19.00,127.78,,,127.78
05/03/2018 19.15,130.23,,,130.23
05/03/2018 19.30,134.73,,,134.73
05/03/2018 19.45,137.15,,,137.15
05/03/2018 20.00,142.3,,,142.3
05/03/2018 20.15,140.91,,,140.91
05/03/2018 20.30,147.54,,,147.54
05/03/2018 20.45,153.67,,,153.67
05/03/2018 21.00,163.07,,,163.07
05/03/2018 21.15,168.67,,,168.67
05/03/2018 21.30,175.47,,,175.47
05/03/2018 21.45,182.15,,,182.15
05/03/2018 22.00,183.96,,,183.96
05/03/2018 22.15,,191.71,,191.71
05/03/2018 22.30,,200.1,,200.1
05/03/2018 22.45,,204.36,,204.36
05/03/2018 23.00,,209.66,,209.66
05/03/2018 23.15,,217.37,,217.37
05/03/2018 23.30,,221.91,,221.91
05/03/2018 23.45,,226.02,,226.02
05/03/2018 24.00,,237.37,,237.37
06/03/2018 00.15,,244.05,,244.05
06/03/2018 00.30,,252.1,,252.1
06/03/2018 00.45,,257.35,,257.35
06/03/2018 01.00,,253.21,,253.21
06/03/2018 01.15,,243.39,,243.39
06/03/2018 01.30,,238.66,,238.66
06/03/2018 01.45,,235.32,,235.32
06/03/2018 02.00,,233.39,,233.39
06/03/2018 02.15,,233.08,,233.08
06/03/2018 02.30,,230.82,,230.82
06/03/2018 02.45,,222.32,,222.32
06/03/2018 03.00,,218.2,,218.2
06/03/2018 03.15,,216.99,,216.99
06/03/2018 03.30,,214.95,,214.95
06/03/2018 03.45,,212.42,,212.42
06/03/2018 04.00,,203.18,,203.18
06/03/2018 04.15,,204.99,,204.99
06/03/2018 04.30,,200.87,,200.87
06/03/2018 04.45,,198.46,,198.46
06/03/2018 05.00,,197.37,,197.37
06/03/2018 05.15,,197,,197
06/03/2018 05.30,,197.62,,197.62
06/03/2018 05.45,,193.47,,193.47
06/03/2018 06.00,,187.84,,187.84
06/03/2018 06.15,,180.63,,180.63
06/03/2018 06.30,,174.78,,174.78
06/03/2018 06.45,,171.94,,171.94
06/03/2018 07.00,,168.81,,168.81
06/03/2018 07.15,,162.31,,162.31
06/03/2018 07.30,,166.01,,166.01
06/03/2018 07.45,,161.33,,161.33
06/03/2018 08.00,,155.68,,155.68
06/03/2018 08.15,,149.22,,149.22
06/03/2018 08.30,,145.97,,145.97
06/03/2018 08.45,,145.88,,145.88
06/03/2018 09.00,,130.78,,130.78
06/03/2018 09.15,116.85,,,116.85
06/03/2018 09.30,102.25,,,102.25
06/03/2018 09.45,87.09,,,87.09
06/03/2018 10.00,81.4,,,81.4
06/03/2018 10.15,87.61,,,87.61
06/03/2018 10.30,83.08,,,83.08
06/03/2018 10.45,76.54,,,76.54
06/03/2018 11.00,76.37,,,76.37
06/03/2018 11.15,68.74,,,68.74
06/03/2018 11.30,72.54,,,72.54
06/03/2018 11.45,74.33,,,74.33
06/03/2018 12.00,77.66,,,77.66
06/03/2018 12.15,77.59,,,77.59
06/03/2018 12.30,74.96,,,74.96
06/03/2018 12.45,77.12,,,77.12
06/03/2018 13.00,81.35,,,81.35
06/03/2018 13.15,84.58,,,84.58
06/03/2018 13.30,85.43,,,85.43
06/03/2018 13.45,88.75,,,88.75
06/03/2018 14.00,92.24,,,92.24
06/03/2018 14.15,93.43,,,93.43
06/03/2018 14.30,98.4,,,98.4
06/03/2018 14.45,104.01,,,104.01
06/03/2018 15.00,115.44,,,115.44
06/03/2018 15.15,108.09,,,108.09
06/03/2018 15.30,103.33,,,103.33
06/03/2018 15.45,97.72,,,97.72
06/03/2018 16.00,96.7,,,96.7
06/03/2018 16.15,96.45,,,96.45
06/03/2018 16.30,93.91,,,93.91
06/03/2018 16.45,97.49,,,97.49
06/03/2018 17.00,99.56,,,99.56
06/03/2018 17.15,100.65,,,100.65
06/03/2018 17.30,100.93,,,100.93
06/03/2018 17.45,99.93,,,99.93
06/03/2018 18.00,101.33,,,101.33
06/03/2018 18.15,104.3,,,104.3
06/03/2018 18.30,106.25,,,106.25
06/03/2018 18.45,112.15,,,112.15
06/03/2018 19.00,115.59,,,115.59
06/03/2018 19.15,119.9,,,119.9
06/03/2018 19.30,124.77,,,124.77
06/03/2018 19.45,125.98,,,125.98
06/03/2018 20.00,133.23,,,133.23
06/03/2018 20.15,135.94,,,135.94
06/03/2018 20.30,143.67,,,143.67
06/03/2018 20.45,143.57,,,143.57
06/03/2018 21.00,150.09,,,150.09
06/03/2018 21.15,156.55,,,156.55
06/03/2018 21.30,160.39,,,160.39
06/03/2018 21.45,166.51,,,166.51
06/03/2018 22.00,173.44,,,173.44
06/03/2018 22.15,,184.99,,184.99
06/03/2018 22.30,,192.7,,192.7
06/03/2018 22.45,,197,,197
06/03/2018 23.00,,200.52,,200.52
06/03/2018 23.15,,206.1,,206.1
06/03/2018 23.30,,213.07,,213.07
06/03/2018 23.45,,220.92,,220.92
06/03/2018 24.00,,227.7,,227.7
07/03/2018 00.15,,234.73,,234.73
07/03/2018 00.30,,241.36,,241.36
07/03/2018 00.45,,242.44,,242.44
07/03/2018 01.00,,244.65,,244.65
07/03/2018 01.15,,236.32,,236.32
07/03/2018 01.30,,230.19,,230.19
07/03/2018 01.45,,225.23,,225.23
07/03/2018 02.00,,224.7,,224.7
07/03/2018 02.15,,220.24,,220.24
07/03/2018 02.30,,215.05,,215.05
07/03/2018 02.45,,207.7,,207.7
07/03/2018 03.00,,206.73,,206.73
07/03/2018 03.15,,199.73,,199.73
07/03/2018 03.30,,194.71,,194.71
07/03/2018 03.45,,190.17,,190.17
07/03/2018 04.00,,184.71,,184.71
07/03/2018 04.15,,183.78,,183.78
07/03/2018 04.30,,181.59,,181.59
07/03/2018 04.45,,181.47,,181.47
