,RATE A,RATE B,RATE C,Total
04/11/2018 11.00,,,56.03,56.03
04/11/2018 11.15,,,57.48,57.48
04/11/2018 11.30,,,49.87,49.87
04/11/2018 11.45,,,48.98,48.98
04/11/2018 12.00,,,53.19,53.19
04/11/2018 12.15,,,50.51,50.51
04/11/2018 12.30,,,47.76,47.76
04/11/2018 12.45,,,48.21,48.21
04/11/2018 13.00,,,48.77,48.77
04/11/2018 13.15,,,51.53,51.53
04/11/2018 13.30,,,51.58,51.58
04/11/2018 13.45,,,52.85,52.85
04/11/2018 14.00,,,52.71,52.71
04/11/2018 14.15,,,56.21,56.21
04/11/2018 14.30,,,55.51,55.51
04/11/2018 14.45,,,59.01,59.01
04/11/2018 15.00,,,54.82,54.82
04/11/2018 15.15,,,57.3,57.3
04/11/2018 15.30,,,58.56,58.56
04/11/2018 15.45,,,60.51,60.51
04/11/2018 16.00,,,63.72,63.72
04/11/2018 16.15,,,63.74,63.74
04/11/2018 16.30,,,62.08,62.08
04/11/2018 16.45,,,66.72,66.72
04/11/2018 17.00,,,69.96,69.96
04/11/2018 17.15,,,67.37,67.37
04/11/2018 17.30,,,67.95,67.95
04/11/2018 17.45,,,69.4,69.4
04/11/2018 18.00,,,72.58,72.58
04/11/2018 18.15,,,74.67,74.67
04/11/2018 18.30,,,76.98,76.98
04/11/2018 18.45,,,81.61,81.61
04/11/2018 19.00,,,80.58,80.58
04/11/2018 19.15,,,81.62,81.62
04/11/2018 19.30,,,85.7,85.7
04/11/2018 19.45,,,90.33,90.33
04/11/2018 20.00,,,89.87,89.87
04/11/2018 20.15,,,89.95,89.95
04/11/2018 20.30,,,92.11,92.11
04/11/2018 20.45,,,93.22,93.22
04/11/2018 21.00,,,93.17,93.17
04/11/2018 21.15,,,96.74,96.74
04/11/2018 21.30,,,104.7,104.7
04/11/2018 21.45,,,107.03,107.03
04/11/2018 22.00,,,114.52,114.52
04/11/2018 22.15,,,119.38,119.38
04/11/2018 22.30,,,122.3,122.3
