,RATE A,RATE B,RATE C,Total
05/08/2018 21.45,,,87.22,87.22
05/08/2018 22.00,,,88.09,88.09
05/08/2018 22.15,,,88.7,88.7
05/08/2018 22.30,,,88.38,88.38
05/08/2018 22.45,,,90.07,90.07
05/08/2018 23.00,,,95.49,95.49
05/08/2018 23.15,,,95.48,95.48
05/08/2018 23.30,,,99.77,99.77
05/08/2018 23.45,,,97.99,97.99
05/08/2018 24.00,,,100.12,100.12
06/08/2018 00.15,,100.65,,100.65
06/08/2018 00.30,,102.24,,102.24
06/08/2018 00.45,,103.38,,103.38
06/08/2018 01.00,,101.27,,101.27
06/08/2018 01.15,,100.38,,100.38
06/08/2018 01.30,,99.46,,99.46
06/08/2018 01.45,,97.78,,97.78
06/08/2018 02.00,,99.91,,99.91
06/08/2018 02.15,,100.01,,100.01
06/08/2018 02.30,,99.17,,99.17
06/08/2018 02.45,,97.86,,97.86
06/08/2018 03.00,,96.35,,96.35
06/08/2018 03.15,,91.91,,91.91
06/08/2018 03.30,,92.16,,92.16
06/08/2018 03.45,,90.4,,90.4
06/08/2018 04.00,,92.22,,92.22
06/08/2018 04.15,,89.75,,89.75
06/08/2018 04.30,,86.61,,86.61
06/08/2018 04.45,,85.85,,85.85
06/08/2018 05.00,,85.27,,85.27
06/08/2018 05.15,,86.7,,86.7
06/08/2018 05.30,,87.43,,87.43
06/08/2018 05.45,,85.72,,85.72
06/08/2018 06.00,,85.93,,85.93
06/08/2018 06.15,,84.35,,84.35
06/08/2018 06.30,,80.91,,80.91
06/08/2018 06.45,,77.33,,77.33
06/08/2018 07.00,,75.22,,75.22
06/08/2018 07.15,,75.25,,75.25
06/08/2018 07.30,,73.04,,73.04
06/08/2018 07.45,,72.56,,72.56
06/08/2018 08.00,,69.9,,69.9
06/08/2018 08.15,,73.79,,73.79
06/08/2018 08.30,,74.59,,74.59
06/08/2018 08.45,,72,,72
06/08/2018 09.00,,68.4,,68.4
06/08/2018 09.15,67.58,,,67.58
06/08/2018 09.30,64.09,,,64.09
06/08/2018 09.45,66.43,,,66.43
06/08/2018 10.00,67.21,,,67.21
06/08/2018 10.15,66.69,,,66.69
06/08/2018 10.30,68.3,,,68.3
06/08/2018 10.45,70.29,,,70.29
06/08/2018 11.00,69.77,,,69.77
06/08/2018 11.15,65.74,,,65.74
06/08/2018 11.30,62.53,,,62.53
06/08/2018 11.45,54.03,,,54.03
06/08/2018 12.00,60.27,,,60.27
06/08/2018 12.15,60.56,,,60.56
06/08/2018 12.30,65.54,,,65.54
06/08/2018 12.45,61,,,61
06/08/2018 13.00,69.85,,,69.85
06/08/2018 13.15,71.46,,,71.46
06/08/2018 13.30,61.64,,,61.64
06/08/2018 13.45,63.9,,,63.9
06/08/2018 14.00,66.59,,,66.59
06/08/2018 14.15,69.8,,,69.8
06/08/2018 14.30,68.5,,,68.5
06/08/2018 14.45,69.96,,,69.96
06/08/2018 15.00,69.11,,,69.11
06/08/2018 15.15,67.5,,,67.5
06/08/2018 15.30,67.69,,,67.69
06/08/2018 15.45,72.4,,,72.4
06/08/2018 16.00,73.2,,,73.2
06/08/2018 16.15,69.04,,,69.04
06/08/2018 16.30,69.27,,,69.27
06/08/2018 16.45,70.53,,,70.53
06/08/2018 17.00,70.61,,,70.61
06/08/2018 17.15,71.41,,,71.41
06/08/2018 17.30,72.69,,,72.69
06/08/2018 17.45,70.48,,,70.48
06/08/2018 18.00,71,,,71
06/08/2018 18.15,72.17,,,72.17
06/08/2018 18.30,74.56,,,74.56
06/08/2018 18.45,79.72,,,79.72
06/08/2018 19.00,80.08,,,80.08
06/08/2018 19.15,75.8,,,75.8
06/08/2018 19.30,75.35,,,75.35
06/08/2018 19.45,76.03,,,76.03
06/08/2018 20.00,80.72,,,80.72
06/08/2018 20.15,80.7,,,80.7
06/08/2018 20.30,86.11,,,86.11
06/08/2018 20.45,87.77,,,87.77
06/08/2018 21.00,88.96,,,88.96
06/08/2018 21.15,85.82,,,85.82
06/08/2018 21.30,92.19,,,92.19
06/08/2018 21.45,95.32,,,95.32
06/08/2018 22.00,98.69,,,98.69
06/08/2018 22.15,,98.56,,98.56
06/08/2018 22.30,,98.49,,98.49
06/08/2018 22.45,,101.35,,101.35
06/08/2018 23.00,,105.04,,105.04
06/08/2018 23.15,,107.28,,107.28
06/08/2018 23.30,,108.98,,108.98
06/08/2018 23.45,,111.12,,111.12
06/08/2018 24.00,,109.32,,109.32
07/08/2018 00.15,,110.49,,110.49
07/08/2018 00.30,,109.57,,109.57
07/08/2018 00.45,,111.01,,111.01
07/08/2018 01.00,,111.62,,111.62
07/08/2018 01.15,,109.36,,109.36
07/08/2018 01.30,,107.38,,107.38
07/08/2018 01.45,,105.35,,105.35
07/08/2018 02.00,,103.22,,103.22
07/08/2018 02.15,,101.9,,101.9
07/08/2018 02.30,,99.78,,99.78
07/08/2018 02.45,,97.41,,97.41
07/08/2018 03.00,,99.82,,99.82
07/08/2018 03.15,,97.98,,97.98
07/08/2018 03.30,,94.07,,94.07
07/08/2018 03.45,,93.25,,93.25
07/08/2018 04.00,,92.9,,92.9
07/08/2018 04.15,,90.75,,90.75
07/08/2018 04.30,,89.03,,89.03
07/08/2018 04.45,,86.11,,86.11
07/08/2018 05.00,,87.33,,87.33
07/08/2018 05.15,,91.54,,91.54
07/08/2018 05.30,,93.38,,93.38
07/08/2018 05.45,,88.96,,88.96
07/08/2018 06.00,,88.69,,88.69
07/08/2018 06.15,,87.14,,87.14
07/08/2018 06.30,,84.25,,84.25
07/08/2018 06.45,,81.56,,81.56
07/08/2018 07.00,,79.09,,79.09
07/08/2018 07.15,,77.91,,77.91
07/08/2018 07.30,,79.61,,79.61
07/08/2018 07.45,,75.43,,75.43
07/08/2018 08.00,,73.33,,73.33
07/08/2018 08.15,,74,,74
07/08/2018 08.30,,73.79,,73.79
07/08/2018 08.45,,70,,70
07/08/2018 09.00,,65.62,,65.62
07/08/2018 09.15,66.88,,,66.88
07/08/2018 09.30,66.46,,,66.46
07/08/2018 09.45,66.71,,,66.71
07/08/2018 10.00,68.3,,,68.3
07/08/2018 10.15,73.06,,,73.06
07/08/2018 10.30,69.43,,,69.43
07/08/2018 10.45,73.82,,,73.82
07/08/2018 11.00,79.8,,,79.8
07/08/2018 11.15,79.29,,,79.29
07/08/2018 11.30,74.83,,,74.83
07/08/2018 11.45,70.74,,,70.74
07/08/2018 12.00,71.58,,,71.58
07/08/2018 12.15,71.32,,,71.32
07/08/2018 12.30,64.8,,,64.8
07/08/2018 12.45,63.48,,,63.48
07/08/2018 13.00,61.29,,,61.29
07/08/2018 13.15,73.11,,,73.11
07/08/2018 13.30,79.01,,,79.01
07/08/2018 13.45,74.22,,,74.22
07/08/2018 14.00,67.92,,,67.92
07/08/2018 14.15,68.22,,,68.22
07/08/2018 14.30,67.19,,,67.19
07/08/2018 14.45,66.95,,,66.95
07/08/2018 15.00,66.14,,,66.14
07/08/2018 15.15,65.92,,,65.92
07/08/2018 15.30,64.32,,,64.32
07/08/2018 15.45,66.69,,,66.69
07/08/2018 16.00,66.24,,,66.24
07/08/2018 16.15,65.48,,,65.48
07/08/2018 16.30,66.98,,,66.98
07/08/2018 16.45,64.06,,,64.06
07/08/2018 17.00,63.67,,,63.67
07/08/2018 17.15,68.41,,,68.41
07/08/2018 17.30,67.38,,,67.38
07/08/2018 17.45,71.25,,,71.25
07/08/2018 18.00,72.82,,,72.82
07/08/2018 18.15,69.19,,,69.19
07/08/2018 18.30,67.75,,,67.75
07/08/2018 18.45,66.5,,,66.5
07/08/2018 19.00,65.82,,,65.82
07/08/2018 19.15,66.11,,,66.11
07/08/2018 19.30,67.77,,,67.77
07/08/2018 19.45,68.56,,,68.56
07/08/2018 20.00,67.58,,,67.58
07/08/2018 20.15,68.24,,,68.24
07/08/2018 20.30,67.71,,,67.71
07/08/2018 20.45,72.96,,,72.96
07/08/2018 21.00,78.99,,,78.99
07/08/2018 21.15,82.85,,,82.85
07/08/2018 21.30,84.66,,,84.66
07/08/2018 21.45,91.06,,,91.06
07/08/2018 22.00,92.48,,,92.48
