,RATE A,RATE B,RATE C,Total
05/06/2018 08.30,,91.32,,91.32
05/06/2018 08.45,,86.8,,86.8
05/06/2018 09.00,,79.41,,79.41
05/06/2018 09.15,80.43,,,80.43
05/06/2018 09.30,81.3,,,81.3
05/06/2018 09.45,77.09,,,77.09
05/06/2018 10.00,77.85,,,77.85
05/06/2018 10.15,77.96,,,77.96
05/06/2018 10.30,77.77,,,77.77
05/06/2018 10.45,76.7,,,76.7
05/06/2018 11.00,77.83,,,77.83
05/06/2018 11.15,79.74,,,79.74
05/06/2018 11.30,82.54,,,82.54
05/06/2018 11.45,73.61,,,73.61
05/06/2018 12.00,69.21,,,69.21
05/06/2018 12.15,69.19,,,69.19
05/06/2018 12.30,67.93,,,67.93
05/06/2018 12.45,70.3,,,70.3
05/06/2018 13.00,68.66,,,68.66
05/06/2018 13.15,68.54,,,68.54
05/06/2018 13.30,75.29,,,75.29
05/06/2018 13.45,70.71,,,70.71
05/06/2018 14.00,73.93,,,73.93
05/06/2018 14.15,81.22,,,81.22
05/06/2018 14.30,71.04,,,71.04
05/06/2018 14.45,77.09,,,77.09
05/06/2018 15.00,83.75,,,83.75
05/06/2018 15.15,82.7,,,82.7
05/06/2018 15.30,79.37,,,79.37
05/06/2018 15.45,74.32,,,74.32
05/06/2018 16.00,71.58,,,71.58
05/06/2018 16.15,70.11,,,70.11
05/06/2018 16.30,69.24,,,69.24
05/06/2018 16.45,67.75,,,67.75
05/06/2018 17.00,70.62,,,70.62
05/06/2018 17.15,74.01,,,74.01
05/06/2018 17.30,74.79,,,74.79
05/06/2018 17.45,78.35,,,78.35
05/06/2018 18.00,79.61,,,79.61
05/06/2018 18.15,77.43,,,77.43
05/06/2018 18.30,79.03,,,79.03
05/06/2018 18.45,81.91,,,81.91
05/06/2018 19.00,81.14,,,81.14
05/06/2018 19.15,80.74,,,80.74
05/06/2018 19.30,81.25,,,81.25
05/06/2018 19.45,81.62,,,81.62
05/06/2018 20.00,83.53,,,83.53
05/06/2018 20.15,84.56,,,84.56
05/06/2018 20.30,83.14,,,83.14
05/06/2018 20.45,85.32,,,85.32
05/06/2018 21.00,84.72,,,84.72
05/06/2018 21.15,85.38,,,85.38
05/06/2018 21.30,86.58,,,86.58
05/06/2018 21.45,89.95,,,89.95
05/06/2018 22.00,91.35,,,91.35
05/06/2018 22.15,,92.8,,92.8
05/06/2018 22.30,,95.32,,95.32
05/06/2018 22.45,,93.24,,93.24
05/06/2018 23.00,,95.83,,95.83
05/06/2018 23.15,,98.54,,98.54
05/06/2018 23.30,,97.2,,97.2
05/06/2018 23.45,,99.45,,99.45
05/06/2018 24.00,,103.9,,103.9
06/06/2018 00.15,,103.07,,103.07
06/06/2018 00.30,,102.98,,102.98
06/06/2018 00.45,,102.83,,102.83
06/06/2018 01.00,,103.75,,103.75
06/06/2018 01.15,,105.33,,105.33
06/06/2018 01.30,,103.93,,103.93
06/06/2018 01.45,,106.32,,106.32
06/06/2018 02.00,,105.65,,105.65
06/06/2018 02.15,,106.09,,106.09
06/06/2018 02.30,,105.44,,105.44
06/06/2018 02.45,,103.27,,103.27
06/06/2018 03.00,,103.25,,103.25
06/06/2018 03.15,,100.36,,100.36
06/06/2018 03.30,,101.77,,101.77
06/06/2018 03.45,,100.51,,100.51
06/06/2018 04.00,,98.36,,98.36
06/06/2018 04.15,,96.46,,96.46
06/06/2018 04.30,,94.01,,94.01
06/06/2018 04.45,,93.57,,93.57
06/06/2018 05.00,,95.4,,95.4
06/06/2018 05.15,,94.83,,94.83
06/06/2018 05.30,,96.27,,96.27
06/06/2018 05.45,,93.54,,93.54
06/06/2018 06.00,,89.38,,89.38
06/06/2018 06.15,,85.53,,85.53
06/06/2018 06.30,,85.85,,85.85
06/06/2018 06.45,,84.4,,84.4
06/06/2018 07.00,,84.69,,84.69
06/06/2018 07.15,,83.2,,83.2
06/06/2018 07.30,,82.53,,82.53
06/06/2018 07.45,,82.14,,82.14
06/06/2018 08.00,,78.51,,78.51
06/06/2018 08.15,,78.49,,78.49
06/06/2018 08.30,,72.75,,72.75
06/06/2018 08.45,,76.53,,76.53
06/06/2018 09.00,,75.04,,75.04
06/06/2018 09.15,71.48,,,71.48
06/06/2018 09.30,67.66,,,67.66
06/06/2018 09.45,68.12,,,68.12
06/06/2018 10.00,66.17,,,66.17
06/06/2018 10.15,63,,,63
06/06/2018 10.30,61.53,,,61.53
06/06/2018 10.45,67.54,,,67.54
06/06/2018 11.00,67.16,,,67.16
06/06/2018 11.15,70.12,,,70.12
06/06/2018 11.30,67.71,,,67.71
06/06/2018 11.45,67.16,,,67.16
06/06/2018 12.00,61.88,,,61.88
06/06/2018 12.15,59.4,,,59.4
06/06/2018 12.30,62.87,,,62.87
06/06/2018 12.45,67.3,,,67.3
06/06/2018 13.00,75.7,,,75.7
06/06/2018 13.15,70.53,,,70.53
06/06/2018 13.30,72.98,,,72.98
06/06/2018 13.45,65.16,,,65.16
06/06/2018 14.00,69.19,,,69.19
06/06/2018 14.15,73.66,,,73.66
06/06/2018 14.30,66.92,,,66.92
06/06/2018 14.45,69.43,,,69.43
06/06/2018 15.00,67.79,,,67.79
06/06/2018 15.15,72.51,,,72.51
06/06/2018 15.30,68.22,,,68.22
06/06/2018 15.45,76.69,,,76.69
06/06/2018 16.00,73.41,,,73.41
06/06/2018 16.15,71.29,,,71.29
06/06/2018 16.30,69.45,,,69.45
06/06/2018 16.45,70.48,,,70.48
06/06/2018 17.00,68.4,,,68.4
06/06/2018 17.15,67,,,67
06/06/2018 17.30,66.09,,,66.09
06/06/2018 17.45,65.71,,,65.71
06/06/2018 18.00,66.69,,,66.69
06/06/2018 18.15,65.64,,,65.64
06/06/2018 18.30,67.04,,,67.04
06/06/2018 18.45,67.45,,,67.45
06/06/2018 19.00,72.43,,,72.43
06/06/2018 19.15,72.45,,,72.45
06/06/2018 19.30,71.03,,,71.03
06/06/2018 19.45,66.85,,,66.85
06/06/2018 20.00,67.9,,,67.9
06/06/2018 20.15,66.75,,,66.75
06/06/2018 20.30,66.21,,,66.21
06/06/2018 20.45,71.53,,,71.53
06/06/2018 21.00,71.67,,,71.67
06/06/2018 21.15,73.8,,,73.8
06/06/2018 21.30,74.24,,,74.24
06/06/2018 21.45,75.46,,,75.46
06/06/2018 22.00,75.24,,,75.24
06/06/2018 22.15,,76.54,,76.54
06/06/2018 22.30,,76.54,,76.54
06/06/2018 22.45,,77.58,,77.58
06/06/2018 23.00,,79.24,,79.24
06/06/2018 23.15,,80.82,,80.82
06/06/2018 23.30,,82.46,,82.46
06/06/2018 23.45,,81.64,,81.64
06/06/2018 24.00,,82.88,,82.88
07/06/2018 00.15,,83.54,,83.54
07/06/2018 00.30,,84.43,,84.43
07/06/2018 00.45,,86.12,,86.12
07/06/2018 01.00,,86.87,,86.87
07/06/2018 01.15,,85.48,,85.48
07/06/2018 01.30,,83.12,,83.12
07/06/2018 01.45,,85.38,,85.38
07/06/2018 02.00,,82.48,,82.48
07/06/2018 02.15,,84.06,,84.06
07/06/2018 02.30,,84.22,,84.22
07/06/2018 02.45,,85.54,,85.54
07/06/2018 03.00,,83.88,,83.88
07/06/2018 03.15,,83.45,,83.45
07/06/2018 03.30,,83.14,,83.14
07/06/2018 03.45,,82.11,,82.11
07/06/2018 04.00,,79.87,,79.87
07/06/2018 04.15,,78.43,,78.43
07/06/2018 04.30,,81.27,,81.27
07/06/2018 04.45,,82.7,,82.7
07/06/2018 05.00,,80.74,,80.74
07/06/2018 05.15,,82.93,,82.93
07/06/2018 05.30,,80.16,,80.16
07/06/2018 05.45,,78.53,,78.53
07/06/2018 06.00,,79.58,,79.58
07/06/2018 06.15,,75.41,,75.41
07/06/2018 06.30,,74.09,,74.09
07/06/2018 06.45,,75.74,,75.74
07/06/2018 07.00,,72.3,,72.3
