,RATE A,RATE B,RATE C,Total
03/09/2018 16.15,2.58,,,2.58
03/09/2018 16.30,3.22,,,3.22
03/09/2018 16.45,3.41,,,3.41
03/09/2018 17.00,3.02,,,3.02
03/09/2018 17.15,3.43,,,3.43
03/09/2018 17.30,3.46,,,3.46
03/09/2018 17.45,3.92,,,3.92
03/09/2018 18.00,4.08,,,4.08
03/09/2018 18.15,4.22,,,4.22
03/09/2018 18.30,4.34,,,4.34
03/09/2018 18.45,4.17,,,4.17
03/09/2018 19.00,4.18,,,4.18
03/09/2018 19.15,4.3,,,4.3
03/09/2018 19.30,4.23,,,4.23
03/09/2018 19.45,4.25,,,4.25
03/09/2018 20.00,4.32,,,4.32
03/09/2018 20.15,4.27,,,4.27
03/09/2018 20.30,4.15,,,4.15
03/09/2018 20.45,3.75,,,3.75
03/09/2018 21.00,3.41,,,3.41
03/09/2018 21.15,2.75,,,2.75
03/09/2018 21.30,2.63,,,2.63
03/09/2018 21.45,2.52,,,2.52
03/09/2018 22.00,2.42,,,2.42
03/09/2018 22.15,,2.35,,2.35
03/09/2018 22.30,,2.18,,2.18
03/09/2018 22.45,,1.98,,1.98
03/09/2018 23.00,,1.83,,1.83
03/09/2018 23.15,,1.69,,1.69
03/09/2018 23.30,,1.8,,1.8
03/09/2018 23.45,,1.73,,1.73
03/09/2018 24.00,,1.78,,1.78
04/09/2018 00.15,,1.71,,1.71
04/09/2018 00.30,,1.7,,1.7
04/09/2018 00.45,,1.6,,1.6
04/09/2018 01.00,,1.59,,1.59
04/09/2018 01.15,,1.59,,1.59
04/09/2018 01.30,,1.65,,1.65
04/09/2018 01.45,,1.66,,1.66
04/09/2018 02.00,,1.69,,1.69
04/09/2018 02.15,,1.65,,1.65
04/09/2018 02.30,,1.61,,1.61
04/09/2018 02.45,,1.58,,1.58
04/09/2018 03.00,,1.63,,1.63
04/09/2018 03.15,,1.57,,1.57
04/09/2018 03.30,,1.59,,1.59
04/09/2018 03.45,,1.58,,1.58
04/09/2018 04.00,,1.7,,1.7
04/09/2018 04.15,,1.63,,1.63
04/09/2018 04.30,,1.62,,1.62
04/09/2018 04.45,,1.62,,1.62
04/09/2018 05.00,,1.67,,1.67
04/09/2018 05.15,,1.61,,1.61
04/09/2018 05.30,,1.6,,1.6
04/09/2018 05.45,,1.62,,1.62
04/09/2018 06.00,,1.52,,1.52
04/09/2018 06.15,,1.54,,1.54
04/09/2018 06.30,,1.63,,1.63
04/09/2018 06.45,,1.62,,1.62
04/09/2018 07.00,,1.58,,1.58
04/09/2018 07.15,,1.39,,1.39
04/09/2018 07.30,,1.42,,1.42
04/09/2018 07.45,,1.55,,1.55
04/09/2018 08.00,,2.02,,2.02
04/09/2018 08.15,,3.12,,3.12
04/09/2018 08.30,,3.27,,3.27
04/09/2018 08.45,,3.45,,3.45
04/09/2018 09.00,,3.29,,3.29
04/09/2018 09.15,3.3,,,3.3
04/09/2018 09.30,3.26,,,3.26
04/09/2018 09.45,3.1,,,3.1
04/09/2018 10.00,2.98,,,2.98
04/09/2018 10.15,3.11,,,3.11
04/09/2018 10.30,2.94,,,2.94
04/09/2018 10.45,2.59,,,2.59
04/09/2018 11.00,2.74,,,2.74
04/09/2018 11.15,2.25,,,2.25
04/09/2018 11.30,2.16,,,2.16
04/09/2018 11.45,3.01,,,3.01
04/09/2018 12.00,2.29,,,2.29
04/09/2018 12.15,2.23,,,2.23
04/09/2018 12.30,2.51,,,2.51
04/09/2018 12.45,1.9,,,1.9
04/09/2018 13.00,1.99,,,1.99
04/09/2018 13.15,1.63,,,1.63
04/09/2018 13.30,1.93,,,1.93
04/09/2018 13.45,1.97,,,1.97
04/09/2018 14.00,1.9,,,1.9
04/09/2018 14.15,1.96,,,1.96
04/09/2018 14.30,1.77,,,1.77
04/09/2018 14.45,1.09,,,1.09
04/09/2018 15.00,1.37,,,1.37
04/09/2018 15.15,1.79,,,1.79
04/09/2018 15.30,2.12,,,2.12
04/09/2018 15.45,3.66,,,3.66
04/09/2018 16.00,3.39,,,3.39
04/09/2018 16.15,3.62,,,3.62
04/09/2018 16.30,3.35,,,3.35
