,RATE A,RATE B,RATE C,Total
06/10/2018 11.00,,,0.85,0.85
06/10/2018 11.15,,,1.06,1.06
06/10/2018 11.30,,,0.88,0.88
06/10/2018 11.45,,,0.42,0.42
06/10/2018 12.00,,,0.69,0.69
06/10/2018 12.15,,,1.1,1.1
06/10/2018 12.30,,,0.74,0.74
06/10/2018 12.45,,,0.28,0.28
06/10/2018 13.00,,,0.42,0.42
06/10/2018 13.15,,,0.69,0.69
06/10/2018 13.30,,,0.7,0.7
06/10/2018 13.45,,,0.74,0.74
06/10/2018 14.00,,,0.64,0.64
06/10/2018 14.15,,,0.52,0.52
06/10/2018 14.30,,,0.37,0.37
06/10/2018 14.45,,,0.81,0.81
06/10/2018 15.00,,,0.52,0.52
06/10/2018 15.15,,,1.44,1.44
06/10/2018 15.30,,,1.71,1.71
06/10/2018 15.45,,,1.42,1.42
06/10/2018 16.00,,,1.88,1.88
06/10/2018 16.15,,,2.16,2.16
06/10/2018 16.30,,,2.65,2.65
06/10/2018 16.45,,,3.11,3.11
06/10/2018 17.00,,,3.28,3.28
06/10/2018 17.15,,,3.23,3.23
06/10/2018 17.30,,,3.19,3.19
06/10/2018 17.45,,,2.78,2.78
06/10/2018 18.00,,,2.64,2.64
06/10/2018 18.15,,,2.69,2.69
06/10/2018 18.30,,,2.89,2.89
06/10/2018 18.45,,,2.92,2.92
06/10/2018 19.00,,,2.86,2.86
06/10/2018 19.15,,,2.85,2.85
06/10/2018 19.30,,,2.71,2.71
06/10/2018 19.45,,,2.63,2.63
06/10/2018 20.00,,,2.77,2.77
06/10/2018 20.15,,,2.54,2.54
06/10/2018 20.30,,,2.29,2.29
06/10/2018 20.45,,,2.12,2.12
06/10/2018 21.00,,,1.99,1.99
06/10/2018 21.15,,,1.91,1.91
06/10/2018 21.30,,,1.87,1.87
06/10/2018 21.45,,,1.9,1.9
06/10/2018 22.00,,,1.91,1.91
06/10/2018 22.15,,,1.91,1.91
06/10/2018 22.30,,,1.89,1.89
06/10/2018 22.45,,,1.91,1.91
06/10/2018 23.00,,,1.92,1.92
06/10/2018 23.15,,,1.88,1.88
06/10/2018 23.30,,,1.88,1.88
