,RATE A,RATE B,RATE C,Total
05/06/2018 09.45,2.03,,,2.03
05/06/2018 10.00,2.42,,,2.42
05/06/2018 10.15,2.63,,,2.63
05/06/2018 10.30,2.63,,,2.63
05/06/2018 10.45,2.58,,,2.58
05/06/2018 11.00,2.53,,,2.53
05/06/2018 11.15,2.44,,,2.44
05/06/2018 11.30,2.26,,,2.26
05/06/2018 11.45,2.52,,,2.52
05/06/2018 12.00,2.72,,,2.72
05/06/2018 12.15,2.54,,,2.54
05/06/2018 12.30,2.63,,,2.63
05/06/2018 12.45,2.6,,,2.6
05/06/2018 13.00,2.49,,,2.49
05/06/2018 13.15,2.47,,,2.47
05/06/2018 13.30,2.7,,,2.7
05/06/2018 13.45,2.8,,,2.8
05/06/2018 14.00,2.77,,,2.77
05/06/2018 14.15,2.74,,,2.74
05/06/2018 14.30,2.69,,,2.69
05/06/2018 14.45,2.47,,,2.47
05/06/2018 15.00,2.76,,,2.76
05/06/2018 15.15,2.35,,,2.35
05/06/2018 15.30,2.8,,,2.8
05/06/2018 15.45,2.54,,,2.54
05/06/2018 16.00,2.42,,,2.42
05/06/2018 16.15,2.49,,,2.49
05/06/2018 16.30,2.67,,,2.67
05/06/2018 16.45,2.84,,,2.84
05/06/2018 17.00,2.91,,,2.91
05/06/2018 17.15,2.93,,,2.93
05/06/2018 17.30,2.79,,,2.79
05/06/2018 17.45,2.72,,,2.72
05/06/2018 18.00,2.78,,,2.78
05/06/2018 18.15,2.81,,,2.81
05/06/2018 18.30,2.98,,,2.98
05/06/2018 18.45,3.09,,,3.09
05/06/2018 19.00,3.13,,,3.13
05/06/2018 19.15,2.96,,,2.96
05/06/2018 19.30,2.99,,,2.99
05/06/2018 19.45,2.96,,,2.96
05/06/2018 20.00,2.86,,,2.86
05/06/2018 20.15,2.71,,,2.71
05/06/2018 20.30,2.76,,,2.76
05/06/2018 20.45,2.7,,,2.7
05/06/2018 21.00,2.3,,,2.3
05/06/2018 21.15,1.92,,,1.92
05/06/2018 21.30,1.9,,,1.9
05/06/2018 21.45,1.87,,,1.87
05/06/2018 22.00,1.86,,,1.86
05/06/2018 22.15,,1.91,,1.91
05/06/2018 22.30,,1.89,,1.89
05/06/2018 22.45,,1.94,,1.94
05/06/2018 23.00,,1.92,,1.92
05/06/2018 23.15,,1.85,,1.85
05/06/2018 23.30,,1.83,,1.83
05/06/2018 23.45,,1.77,,1.77
05/06/2018 24.00,,1.79,,1.79
06/06/2018 00.15,,1.74,,1.74
06/06/2018 00.30,,1.65,,1.65
06/06/2018 00.45,,1.62,,1.62
06/06/2018 01.00,,1.61,,1.61
06/06/2018 01.15,,1.65,,1.65
06/06/2018 01.30,,1.69,,1.69
06/06/2018 01.45,,1.74,,1.74
06/06/2018 02.00,,1.7,,1.7
