,RATE A,RATE B,RATE C,Total
 04/04/2018 12.30,5.92,,,5.92
 04/04/2018 12.45,6.23,,,6.23
 04/04/2018 13.00,6.84,,,6.84
 04/04/2018 13.15,6.68,,,6.68
 04/04/2018 13.30,7,,,7
 04/04/2018 13.45,7.01,,,7.01
 04/04/2018 14.00,7.45,,,7.45
 04/04/2018 14.15,7.66,,,7.66
 04/04/2018 14.30,7.78,,,7.78
 04/04/2018 14.45,8.05,,,8.05
 04/04/2018 15.00,8.1,,,8.1
 04/04/2018 15.15,8.3,,,8.3
 04/04/2018 15.30,7.97,,,7.97
 04/04/2018 15.45,7.56,,,7.56
 04/04/2018 16.00,7.05,,,7.05
 04/04/2018 16.15,6.98,,,6.98
 04/04/2018 16.30,6.39,,,6.39
 04/04/2018 16.45,6.3,,,6.3
 04/04/2018 17.00,6.65,,,6.65
 04/04/2018 17.15,6.76,,,6.76
 04/04/2018 17.30,6.11,,,6.11
 04/04/2018 17.45,5.98,,,5.98
 04/04/2018 18.00,6.2,,,6.2
 04/04/2018 18.15,5.85,,,5.85
 04/04/2018 18.30,5.35,,,5.35
 04/04/2018 18.45,5.59,,,5.59
 04/04/2018 19.00,5.66,,,5.66
 04/04/2018 19.15,5.66,,,5.66
 04/04/2018 19.30,5.7,,,5.7
 04/04/2018 19.45,5.94,,,5.94
 04/04/2018 20.00,5.24,,,5.24
 04/04/2018 20.15,5.03,,,5.03
 04/04/2018 20.30,4.87,,,4.87
 04/04/2018 20.45,4.75,,,4.75
 04/04/2018 21.00,3.99,,,3.99
 04/04/2018 21.15,3.17,,,3.17
 04/04/2018 21.30,2.76,,,2.76
 04/04/2018 21.45,2.35,,,2.35
 04/04/2018 22.00,2.17,,,2.17
 04/04/2018 22.15,,1.98,,1.98
 04/04/2018 22.30,,1.8,,1.8
 04/04/2018 22.45,,1.71,,1.71
 04/04/2018 23.00,,1.73,,1.73
 04/04/2018 23.15,,1.68,,1.68
 04/04/2018 23.30,,1.7,,1.7
 04/04/2018 23.45,,1.7,,1.7
 04/04/2018 24.00,,1.68,,1.68
 05/04/2018 00.15,,1.59,,1.59
 05/04/2018 00.30,,1.53,,1.53
 05/04/2018 00.45,,1.55,,1.55
 05/04/2018 01.00,,1.51,,1.51
 05/04/2018 01.15,,1.56,,1.56
 05/04/2018 01.30,,1.58,,1.58
 05/04/2018 01.45,,1.58,,1.58
 05/04/2018 02.00,,1.58,,1.58
 05/04/2018 02.15,,1.58,,1.58
 05/04/2018 02.30,,1.61,,1.61
 05/04/2018 02.45,,1.56,,1.56
 05/04/2018 03.00,,1.56,,1.56
 05/04/2018 03.15,,1.52,,1.52
 05/04/2018 03.30,,1.53,,1.53
 05/04/2018 03.45,,1.52,,1.52
 05/04/2018 04.00,,1.52,,1.52
 05/04/2018 04.15,,1.56,,1.56
 05/04/2018 04.30,,1.58,,1.58
 05/04/2018 04.45,,1.59,,1.59
 05/04/2018 05.00,,1.56,,1.56
 05/04/2018 05.15,,1.52,,1.52
 05/04/2018 05.30,,1.49,,1.49
 05/04/2018 05.45,,1.49,,1.49
 05/04/2018 06.00,,1.5,,1.5
 05/04/2018 06.15,,1.44,,1.44
 05/04/2018 06.30,,1.48,,1.48
 05/04/2018 06.45,,1.48,,1.48
 05/04/2018 07.00,,1.48,,1.48
 05/04/2018 07.15,,1.48,,1.48
 05/04/2018 07.30,,1.46,,1.46
 05/04/2018 07.45,,1.5,,1.5
 05/04/2018 08.00,,1.82,,1.82
 05/04/2018 08.15,,2.44,,2.44
 05/04/2018 08.30,,2.73,,2.73
 05/04/2018 08.45,,2.71,,2.71
 05/04/2018 09.00,,2.76,,2.76
 05/04/2018 09.15,3.36,,,3.36
 05/04/2018 09.30,3.55,,,3.55
 05/04/2018 09.45,3.71,,,3.71
 05/04/2018 10.00,3.83,,,3.83
 05/04/2018 10.15,3.95,,,3.95
 05/04/2018 10.30,3.87,,,3.87
 05/04/2018 10.45,3.96,,,3.96
 05/04/2018 11.00,3.97,,,3.97
 05/04/2018 11.15,4.03,,,4.03
 05/04/2018 11.30,3.89,,,3.89
 05/04/2018 11.45,4.07,,,4.07
 05/04/2018 12.00,4.25,,,4.25
 05/04/2018 12.15,5.64,,,5.64
 05/04/2018 12.30,5.76,,,5.76
 05/04/2018 12.45,5.72,,,5.72
 05/04/2018 13.00,5.79,,,5.79
 05/04/2018 13.15,5.73,,,5.73
 05/04/2018 13.30,6.05,,,6.05
 05/04/2018 13.45,6.15,,,6.15
 05/04/2018 14.00,6.54,,,6.54
 05/04/2018 14.15,6.49,,,6.49
 05/04/2018 14.30,6.5,,,6.5
