,RATE A,RATE B,RATE C,Total
07/11/2018 06.15,,4.27,,4.27
07/11/2018 06.30,,4.2,,4.2
07/11/2018 06.45,,4.09,,4.09
07/11/2018 07.00,,3.86,,3.86
07/11/2018 07.15,,3.96,,3.96
07/11/2018 07.30,,3.65,,3.65
07/11/2018 07.45,,3.64,,3.64
07/11/2018 08.00,,3.72,,3.72
07/11/2018 08.15,,14.2,,14.2
07/11/2018 08.30,,18.8,,18.8
07/11/2018 08.45,,18.71,,18.71
07/11/2018 09.00,,18.56,,18.56
07/11/2018 09.15,18.71,,,18.71
07/11/2018 09.30,18.69,,,18.69
07/11/2018 09.45,19.01,,,19.01
07/11/2018 10.00,18.96,,,18.96
07/11/2018 10.15,19.32,,,19.32
07/11/2018 10.30,19.36,,,19.36
07/11/2018 10.45,19.2,,,19.2
07/11/2018 11.00,19.03,,,19.03
07/11/2018 11.15,19.34,,,19.34
07/11/2018 11.30,19.11,,,19.11
07/11/2018 11.45,19.2,,,19.2
07/11/2018 12.00,18.97,,,18.97
07/11/2018 12.15,18.97,,,18.97
07/11/2018 12.30,19.24,,,19.24
07/11/2018 12.45,19.02,,,19.02
07/11/2018 13.00,19.47,,,19.47
07/11/2018 13.15,19.16,,,19.16
07/11/2018 13.30,19.32,,,19.32
07/11/2018 13.45,19.64,,,19.64
07/11/2018 14.00,20.01,,,20.01
07/11/2018 14.15,22.17,,,22.17
07/11/2018 14.30,31.44,,,31.44
07/11/2018 14.45,32.89,,,32.89
07/11/2018 15.00,32.25,,,32.25
07/11/2018 15.15,20.54,,,20.54
07/11/2018 15.30,19.92,,,19.92
07/11/2018 15.45,20.31,,,20.31
07/11/2018 16.00,18.21,,,18.21
07/11/2018 16.15,4.45,,,4.45
07/11/2018 16.30,4.37,,,4.37
07/11/2018 16.45,4.14,,,4.14
07/11/2018 17.00,4.36,,,4.36
07/11/2018 17.15,3.8,,,3.8
07/11/2018 17.30,3.68,,,3.68
07/11/2018 17.45,3.64,,,3.64
07/11/2018 18.00,4.01,,,4.01
07/11/2018 18.15,4.04,,,4.04
07/11/2018 18.30,3.97,,,3.97
07/11/2018 18.45,3.7,,,3.7
