,RATE A,RATE B,RATE C,Total
 04/12/2018 18.45,140.41,,,140.41
 04/12/2018 19.00,143.97,,,143.97
 04/12/2018 19.15,147.62,,,147.62
 04/12/2018 19.30,146.17,,,146.17
 04/12/2018 19.45,149.46,,,149.46
 04/12/2018 20.00,151.23,,,151.23
 04/12/2018 20.15,154.12,,,154.12
 04/12/2018 20.30,160.55,,,160.55
 04/12/2018 20.45,164.02,,,164.02
 04/12/2018 21.00,174.86,,,174.86
 04/12/2018 21.15,173.65,,,173.65
 04/12/2018 21.30,173.63,,,173.63
 04/12/2018 21.45,185.07,,,185.07
 04/12/2018 22.00,198.86,,,198.86
 04/12/2018 22.15,,197.58,,197.58
 04/12/2018 22.30,,210.18,,210.18
 04/12/2018 22.45,,210.45,,210.45
 04/12/2018 23.00,,217.68,,217.68
 04/12/2018 23.15,,227.08,,227.08
 04/12/2018 23.30,,233.92,,233.92
 04/12/2018 23.45,,240.63,,240.63
 04/12/2018 24.00,,247.05,,247.05
 05/12/2018 00.15,,,249.08,249.08
 05/12/2018 00.30,,,252.63,252.63
 05/12/2018 00.45,,,251.4,251.4
 05/12/2018 01.00,,,252.95,252.95
 05/12/2018 01.15,,,258.34,258.34
 05/12/2018 01.30,,,255.08,255.08
 05/12/2018 01.45,,,252.68,252.68
 05/12/2018 02.00,,,251.31,251.31
 05/12/2018 02.15,,,251.68,251.68
 05/12/2018 02.30,,,251,251
 05/12/2018 02.45,,,259.21,259.21
 05/12/2018 03.00,,,257.13,257.13
 05/12/2018 03.15,,,253.11,253.11
 05/12/2018 03.30,,,247.73,247.73
 05/12/2018 03.45,,,244.89,244.89
 05/12/2018 04.00,,,242.4,242.4
 05/12/2018 04.15,,,238.28,238.28
 05/12/2018 04.30,,,235.97,235.97
 05/12/2018 04.45,,,233.07,233.07
 05/12/2018 05.00,,,233.74,233.74
 05/12/2018 05.15,,,222.5,222.5
 05/12/2018 05.30,,,216.66,216.66
 05/12/2018 05.45,,,214.03,214.03
 05/12/2018 06.00,,,209.97,209.97
 05/12/2018 06.15,,,205.76,205.76
 05/12/2018 06.30,,,193.92,193.92
 05/12/2018 06.45,,,185.97,185.97
 05/12/2018 07.00,,,175.83,175.83
 05/12/2018 07.15,,,168.49,168.49
 05/12/2018 07.30,,,161.34,161.34
 05/12/2018 07.45,,,156.14,156.14
 05/12/2018 08.00,,,153.54,153.54
 05/12/2018 08.15,,,146.36,146.36
 05/12/2018 08.30,,,143.17,143.17
 05/12/2018 08.45,,,140.33,140.33
 05/12/2018 09.00,,,137.14,137.14
 05/12/2018 09.15,,,134.15,134.15
 05/12/2018 09.30,,,135.23,135.23
 05/12/2018 09.45,,,123.57,123.57
 05/12/2018 10.00,,,115.57,115.57
 05/12/2018 10.15,,,102.12,102.12
 05/12/2018 10.30,,,99.15,99.15
 05/12/2018 10.45,,,95.88,95.88
 05/12/2018 11.00,,,89.98,89.98
 05/12/2018 11.15,,,86.54,86.54
 05/12/2018 11.30,,,74.85,74.85
