,RATE A,RATE B,RATE C,Total
07/04/2018 15.45,,,572.33,572.33
07/04/2018 16.00,,,532.8,532.8
07/04/2018 16.15,,,504.92,504.92
07/04/2018 16.30,,,497.18,497.18
07/04/2018 16.45,,,484.61,484.61
07/04/2018 17.00,,,485.76,485.76
07/04/2018 17.15,,,480.71,480.71
07/04/2018 17.30,,,483.94,483.94
07/04/2018 17.45,,,477.1,477.1
07/04/2018 18.00,,,471.66,471.66
07/04/2018 18.15,,,459.7,459.7
07/04/2018 18.30,,,473.34,473.34
07/04/2018 18.45,,,478.15,478.15
07/04/2018 19.00,,,481.78,481.78
07/04/2018 19.15,,,480.99,480.99
